CategoryID;Category
55;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
56;Electronics|HomeTheater,TV&Video|Accessories|RemoteControls
57;Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
58;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
59;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
60;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
61;Electronics|HomeTheater,TV&Video|Accessories|RemoteControls
62;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
63;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
64;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
65;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
66;Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables
67;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
68;Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions
69;Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts
70;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
71;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
72;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
73;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
74;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
75;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
76;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
77;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
78;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
79;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
80;Electronics|HomeTheater,TV&Video|Accessories|RemoteControls
81;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
82;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
83;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
84;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
85;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
86;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
87;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
88;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
89;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
90;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
91;Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
92;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
93;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
94;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
95;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
96;Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
97;Electronics|HomeTheater,TV&Video|Accessories|RemoteControls
98;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
99;Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
100;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
101;Electronics|HomeTheater,TV&Video|Accessories|RemoteControls
102;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
103;Electronics|HomeTheater,TV&Video|Accessories|RemoteControls
104;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
